generated_text,System prompt,Product Title,Product Category,Review Rating,Review Title,Review
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: iPhone 8 Plus Case, iPhone 7 Plus Case, ZVE iPhone 7 Plus Stand Case Finger Strap Scratch Resistant Dual Layer Cover with Fold-able Kickstand for Apple iPhone 7 Plus/8 Plus 5.5'' Mint Green | Product Category: Cell Phones & Accessories | Review Rating: 2 | Review Title: ☹️ | Review: I really like this phone case that's the only reason it's getting two stars. As far as quality... the actual case is good. The stand part on the back is cheap and it's already broke off. I've had this case for less than a month and the stand part is already broken. ☹️  I will update this review if the case breaks within the next couple of months. I will be looking for a new phone case for my phone. ☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","iPhone 8 Plus Case, iPhone 7 Plus Case, ZVE iPhone 7 Plus Stand Case Finger Strap Scratch Resistant Dual Layer Cover with Fold-able Kickstand for Apple iPhone 7 Plus/8 Plus 5.5'' Mint Green",Cell Phones & Accessories,2,☹️,I really like this phone case that's the only reason it's getting two stars. As far as quality... the actual case is good. The stand part on the back is cheap and it's already broke off. I've had this case for less than a month and the stand part is already broken. ☹️  I will update this review if the case breaks within the next couple of months. I will be looking for a new phone case for my phone. ☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹️☹
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: NALIA Leather Look Case Compatible with Nokia 7.1, Ultra-Thin Protective Silicone Smart-Phone Rugged Back Cover, Slim-Fit Rubber Gel Soft Skin Shockproof Bumper Protector Back-Case Shell Etui - Black | Product Category: Portable Audio & Accessories | Review Rating: 5 | Review Title: Perfect fit, looks nice | Review: It fits the phone perfectly.  The lock & volume buttons work well, the cutouts for the headphone jack, fingerprint sensor, and charging port are all well placed.  The case is flexible, but not overly so, and the leather-like texture makes it easy to hold the phone.  It adds just a little bit of bulk to the phone, but not too much.  The cutout on the back is a little bit smaller than the Nokia logo, but it's not a big deal.  It's a great case for the price.  I'd buy another one.  The case is not a hard shell, it's more like a soft silicone case.  The only reason I didn't give it 5 stars is because I thought it was","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","NALIA Leather Look Case Compatible with Nokia 7.1, Ultra-Thin Protective Silicone Smart-Phone Rugged Back Cover, Slim-Fit Rubber Gel Soft Skin Shockproof Bumper Protector Back-Case Shell Etui - Black",Portable Audio & Accessories,5,"Perfect fit, looks nice","It fits the phone perfectly.  The lock & volume buttons work well, the cutouts for the headphone jack, fingerprint sensor, and charging port are all well placed.  The case is flexible, but not overly so, and the leather-like texture makes it easy to hold the phone.  It adds just a little bit of bulk to the phone, but not too much.  The cutout on the back is a little bit smaller than the Nokia logo, but it's not a big deal.  It's a great case for the price.  I'd buy another one.  The case is not a hard shell, it's more like a soft silicone case.  The only reason I didn't give it 5 stars is because I thought it was"
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: EnginStar Portable Power Station, 150W 155Wh Power Bank with 110V AC Outlet, 6 Outputs External Battery Pack Portable Backup Battery Laptop Charger with LED Light for Home Camping | Product Category: Cell Phones & Accessories | Review Rating: 4 | Review Title: Small but mighty | Review: This battery is small but mighty.  It is lightweight and portable.  It can charge my laptop from zero to one hundred percent a couple of times.  It also has an AC outlet so I can charge my phone or other devices.  It is a great battery to have in your car for emergencies.  It is a little pricey but worth the money.  I highly recommend this battery.  It is a great product.  I am very satisfied with my purchase.  It is a great product.  I am very satisfied with my purchase.  I highly recommend this battery.  It is a great product.  I am very satisfied with my purchase.  I highly recommend this battery.  It is a great product.  I am very satisfied with my purchase.  I highly recommend this battery","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","EnginStar Portable Power Station, 150W 155Wh Power Bank with 110V AC Outlet, 6 Outputs External Battery Pack Portable Backup Battery Laptop Charger with LED Light for Home Camping",Cell Phones & Accessories,4,Small but mighty,This battery is small but mighty.  It is lightweight and portable.  It can charge my laptop from zero to one hundred percent a couple of times.  It also has an AC outlet so I can charge my phone or other devices.  It is a great battery to have in your car for emergencies.  It is a little pricey but worth the money.  I highly recommend this battery.  It is a great product.  I am very satisfied with my purchase.  It is a great product.  I am very satisfied with my purchase.  I highly recommend this battery.  It is a great product.  I am very satisfied with my purchase.  I highly recommend this battery.  It is a great product.  I am very satisfied with my purchase.  I highly recommend this battery
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: Auxiwa Clip on Selfie Ring Light [Rechargeable Battery] with 36 LED for Smart Phone Camera Round Shape, White | Product Category: Camera & Photo | Review Rating: 5 | Review Title: Makes my photos so much better | Review: I'm in LOVVVEEE with this selfie light! As a MUA, I'm constantly taking photos and this has improved my photos. I can't wait to get more of these for my other family members. It's perfect for selfies, photos, and videos! The ring light makes all the difference. I love that it's rechargeable too! It's a great price for the quality. I'm very happy with this selfie light! I highly recommend it! I purchased this product for a reduced price for an honest and unbiased review. I was not required to give a positive review. My review is my honest opinion and experience. I am not influenced by the company or any of it's representatives. I am not a professional reviewer. I'm just a regular customer sharing","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","Auxiwa Clip on Selfie Ring Light [Rechargeable Battery] with 36 LED for Smart Phone Camera Round Shape, White",Camera & Photo,5,Makes my photos so much better,"I'm in LOVVVEEE with this selfie light! As a MUA, I'm constantly taking photos and this has improved my photos. I can't wait to get more of these for my other family members. It's perfect for selfies, photos, and videos! The ring light makes all the difference. I love that it's rechargeable too! It's a great price for the quality. I'm very happy with this selfie light! I highly recommend it! I purchased this product for a reduced price for an honest and unbiased review. I was not required to give a positive review. My review is my honest opinion and experience. I am not influenced by the company or any of it's representatives. I am not a professional reviewer. I'm just a regular customer sharing"
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: Miracase Product 2023 | Product Category: Cell Phones & Accessories | Review Rating: 5 | Review Title: Great low profile case! A+ | Review: I love this iPhone case. It is soft, it protects the phone great and it is very low profile. The case covers the entire case. Sometimes cases do not cover the space around the charging cord, and this one does, so it cannot be banged on anything, compromising the screen. Sometimes this is overlooked until it is too late. I like this case and I recommend it!  A+ 5 stars!  I have not dropped it, so I cannot speak to the drop protection, but the case is very soft and will cushion the phone. I love the low profile. I would buy again.  I received this case for free for my honest review. I am not a paid reviewer. This is my honest opinion.  I am not a paid reviewer. This is my honest opinion.  I am not a paid reviewer. This is my honest opinion.  I am not a paid reviewer. This is my honest opinion.  I","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review",Miracase Product 2023,Cell Phones & Accessories,5,Great low profile case! A+,"I love this iPhone case. It is soft, it protects the phone great and it is very low profile. The case covers the entire case. Sometimes cases do not cover the space around the charging cord, and this one does, so it cannot be banged on anything, compromising the screen. Sometimes this is overlooked until it is too late. I like this case and I recommend it!  A+ 5 stars!  I have not dropped it, so I cannot speak to the drop protection, but the case is very soft and will cushion the phone. I love the low profile. I would buy again.  I received this case for free for my honest review. I am not a paid reviewer. This is my honest opinion.  I am not a paid reviewer. This is my honest opinion.  I am not a paid reviewer. This is my honest opinion.  I am not a paid reviewer. This is my honest opinion.  I"
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: Vofolen Case Protective Hard Shell Flexible Soft TPU Rubber - Mint | Product Category: Cell Phones & Accessories | Review Rating: 5 | Review Title: Convenient | Review: If I drop phone case comes off and protects phone.  Works great.  Only had it for a couple of days.  So far so good.  The case is very flexible and I like that.  Easy to put on and take off.  Very easy to use phone.  Great case.  Would buy again.  Great price.  Very happy with it.  Highly recommend it.  A+  A+++++  Five stars.  Great product.  Highly recommend it.  Very happy with it.  A+++++  Five stars.  Great product.  Highly recommend it.  Very happy with it.  A+++++","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review",Vofolen Case Protective Hard Shell Flexible Soft TPU Rubber - Mint,Cell Phones & Accessories,5,Convenient,If I drop phone case comes off and protects phone.  Works great.  Only had it for a couple of days.  So far so good.  The case is very flexible and I like that.  Easy to put on and take off.  Very easy to use phone.  Great case.  Would buy again.  Great price.  Very happy with it.  Highly recommend it.  A+  A+++++  Five stars.  Great product.  Highly recommend it.  Very happy with it.  A+++++  Five stars.  Great product.  Highly recommend it.  Very happy with it.  A+++++
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: eLander Charging Stand Bracket Docking Station Cradle Holder for All Apple Watch Models Compatible with 38/42mm Series 3 Series 2 Series 1 Sport and Edition (Black) | Product Category: All Electronics | Review Rating: 5 | Review Title: Very convenient applewatch stand. Even take it for travel | Review: Very convenient apple watch stand. Even take it for travel! Great buy! The stand is sturdy and well made. It’s great to have my watch charging and visible at all times. It’s great to have my watch charging and visible at all times. The watch is not moving around while charging. The stand is sturdy and well made. It’s great to have my watch charging and visible at all times. It’s great to have my watch charging and visible at all times. The watch is not moving around while charging. The stand is sturdy and well made. It’s great to have my watch charging and visible at all times. It’s great to have my watch charging and visible at all times","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review",eLander Charging Stand Bracket Docking Station Cradle Holder for All Apple Watch Models Compatible with 38/42mm Series 3 Series 2 Series 1 Sport and Edition (Black),All Electronics,5,Very convenient applewatch stand. Even take it for travel,Very convenient apple watch stand. Even take it for travel! Great buy! The stand is sturdy and well made. It’s great to have my watch charging and visible at all times. It’s great to have my watch charging and visible at all times. The watch is not moving around while charging. The stand is sturdy and well made. It’s great to have my watch charging and visible at all times. It’s great to have my watch charging and visible at all times. The watch is not moving around while charging. The stand is sturdy and well made. It’s great to have my watch charging and visible at all times. It’s great to have my watch charging and visible at all times
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: Auxiwa Clip On Ring Light for Camera [Rechargeable Battery] Selfie LED Camera Light with 36 LED for Smart Phone Camera, Round Shape, Black | Product Category: Camera & Photo | Review Rating: 5 | Review Title: Works surprisingly well for a different reason than usual. Might get another... | Review: I decided to clip this onto my monitor to provide better lighting for whenever I stream. This little thing provides enough light on a lower setting to give proper lighting for my face. I have to use a higher setting to get proper lighting for my desk. It's a small and compact light that does what it needs to do. The clip is very secure and it doesn't move at all. The battery life is also pretty good. I was able to use it for 4 hours of streaming with a couple of hours of charging. It's a pretty good light for the price. I might get another one just to have a spare. I don't see any reason why I wouldn't recommend it. It's a great product. I have no complaints. I received this product at a discount in exchange","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","Auxiwa Clip On Ring Light for Camera [Rechargeable Battery] Selfie LED Camera Light with 36 LED for Smart Phone Camera, Round Shape, Black",Camera & Photo,5,Works surprisingly well for a different reason than usual. Might get another...,I decided to clip this onto my monitor to provide better lighting for whenever I stream. This little thing provides enough light on a lower setting to give proper lighting for my face. I have to use a higher setting to get proper lighting for my desk. It's a small and compact light that does what it needs to do. The clip is very secure and it doesn't move at all. The battery life is also pretty good. I was able to use it for 4 hours of streaming with a couple of hours of charging. It's a pretty good light for the price. I might get another one just to have a spare. I don't see any reason why I wouldn't recommend it. It's a great product. I have no complaints. I received this product at a discount in exchange
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: CamKix Lens Kit Compatible with Apple iPhone 8 Plus and iPhone 7 Plus - 12x Telephoto Lens, Fisheye, Macro, Wide Angle Lens, Tripod, Phone Holder, Lens Holder Ring, Phone Hard Case, Bag and Cloth | Product Category: Camera & Photo | Review Rating: 5 | Review Title: You get more than what you pay for | Review: Love camkix. My macros are always crisp! I can’t get an olloclip to work right. The glass is always off center. The camkix is perfect. It’s a great value. You get more than what you pay for. I’m buying more as gifts. I love the fisheye. I’ve used the macro and wide angle but the fisheye is the best. I can’t wait to use it for my next project. You can’t go wrong with this kit. It’s worth every penny. The case is sturdy. It’s a great gift. I’m buying more as gifts. I love it. It’s worth every penny. I’m buying more as gifts. I","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review","CamKix Lens Kit Compatible with Apple iPhone 8 Plus and iPhone 7 Plus - 12x Telephoto Lens, Fisheye, Macro, Wide Angle Lens, Tripod, Phone Holder, Lens Holder Ring, Phone Hard Case, Bag and Cloth",Camera & Photo,5,You get more than what you pay for,Love camkix. My macros are always crisp! I can’t get an olloclip to work right. The glass is always off center. The camkix is perfect. It’s a great value. You get more than what you pay for. I’m buying more as gifts. I love the fisheye. I’ve used the macro and wide angle but the fisheye is the best. I can’t wait to use it for my next project. You can’t go wrong with this kit. It’s worth every penny. The case is sturdy. It’s a great gift. I’m buying more as gifts. I love it. It’s worth every penny. I’m buying more as gifts. I
"System prompt : Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review | Product Title: FNTCASE for Samsung Galaxy Z-Fold-4 Case: Military Grade Hinge Protection S-Pen Holder & Kickstand Rugged Shockproof 360 Full Protective Phone Cover for ZFold 4 2022 (Purple) | Product Category: Cell Phones & Accessories | Review Rating: 5 | Review Title: Perfect fit! | Review: The case was easy to get the phone into. The phone is very well protected now. I have a zFold 4 and the case fit perfectly. I would highly recommend this case. It is very sturdy and protects the phone well. I love the kickstand on the back. It is very sturdy and I love that the pen is stored in the case. The case is also very easy to get the phone out of. I would highly recommend this case to anyone with a zFold 4. It is very well made and will protect your phone well. I love that the case is also very stylish. It looks very nice and I am very happy with my purchase. I would definitely buy this case again. It is very well made and protects the phone well. I love","Given the Product Title, Product Category, Review Rating and Review Title, you are required to generate the Review",FNTCASE for Samsung Galaxy Z-Fold-4 Case: Military Grade Hinge Protection S-Pen Holder & Kickstand Rugged Shockproof 360 Full Protective Phone Cover for ZFold 4 2022 (Purple),Cell Phones & Accessories,5,Perfect fit!,The case was easy to get the phone into. The phone is very well protected now. I have a zFold 4 and the case fit perfectly. I would highly recommend this case. It is very sturdy and protects the phone well. I love the kickstand on the back. It is very sturdy and I love that the pen is stored in the case. The case is also very easy to get the phone out of. I would highly recommend this case to anyone with a zFold 4. It is very well made and will protect your phone well. I love that the case is also very stylish. It looks very nice and I am very happy with my purchase. I would definitely buy this case again. It is very well made and protects the phone well. I love
